Day 1 (Open),Day 2 (Open),Day 3 (Open),Day 4 (Open),Day 5 (Open),Day 1 (High),Day 2 (High),Day 3 (High),Day 4 (High),Day 5 (High),Day 1 (Low),Day 2 (Low),Day 3 (Low),Day 4 (Low),Day 5 (Low),Day 1 (Close),Day 2 (Close),Day 3 (Close),Day 4 (Close),Day 5 (Close),Day 1 (Volume),Day 2 (Volume),Day 3 (Volume),Day 4 (Volume),Day 5 (Volume),Day 6 (Open),Day 6 (High),Day 6 (Low),Day 6 (Volume),Day 6 (Close)
250,257.48999,255.860001,250.610001,247.949997,258.850006,259,259.98999,251.880005,250.929993,248.5,252.020004,255.509995,245.600006,246,258.679993,253.979996,257.700012,247.740005,248.710007,6101100,4025700,4473000,7918500,3587200,252.210007,252.779999,242.169998,242.779999,7485100
257.48999,255.860001,250.610001,247.949997,252.210007,259,259.98999,251.880005,250.929993,252.779999,252.020004,255.509995,245.600006,246,242.169998,253.979996,257.700012,247.740005,248.710007,242.779999,4025700,4473000,7918500,3587200,7485100,245.199997,247.600006,240.639999,246.720001,4789700
255.860001,250.610001,247.949997,252.210007,245.199997,259.98999,251.880005,250.929993,252.779999,247.600006,255.509995,245.600006,246,242.169998,240.639999,257.700012,247.740005,248.710007,242.779999,246.720001,4473000,7918500,3587200,7485100,4789700,247.350006,249.720001,246.089996,248.089996,3159800
250.610001,247.949997,252.210007,245.199997,247.350006,251.880005,250.929993,252.779999,247.600006,249.720001,245.600006,246,242.169998,240.639999,246.089996,247.740005,248.710007,242.779999,246.720001,248.089996,7918500,3587200,7485100,4789700,3159800,248.339996,249,246.600006,248.440002,1981200
247.949997,252.210007,245.199997,247.350006,248.339996,250.929993,252.779999,247.600006,249.720001,249,246,242.169998,240.639999,246.089996,246.600006,248.710007,242.779999,246.720001,248.089996,248.440002,3587200,7485100,4789700,3159800,1981200,245.350006,246.690002,242.520004,244.520004,2119700
252.210007,245.199997,247.350006,248.339996,245.350006,252.779999,247.600006,249.720001,249,246.690002,242.169998,240.639999,246.089996,246.600006,242.520004,242.779999,246.720001,248.089996,248.440002,244.520004,7485100,4789700,3159800,1981200,2119700,241.160004,242.470001,229.009995,231.639999,8619400
245.199997,247.350006,248.339996,245.350006,241.160004,247.600006,249.720001,249,246.690002,242.470001,240.639999,246.089996,246.600006,242.520004,229.009995,246.720001,248.089996,248.440002,244.520004,231.639999,4789700,3159800,1981200,2119700,8619400,234.570007,234.880005,228,231.429993,5887000
247.350006,248.339996,245.350006,241.160004,234.570007,249.720001,249,246.690002,242.470001,234.880005,246.089996,246.600006,242.520004,229.009995,228,248.089996,248.440002,244.520004,231.639999,231.429993,3159800,1981200,2119700,8619400,5887000,226.25,229.720001,225.5,229.300003,5307700
248.339996,245.350006,241.160004,234.570007,226.25,249,246.690002,242.470001,234.880005,229.720001,246.600006,242.520004,229.009995,228,225.5,248.440002,244.520004,231.639999,231.429993,229.300003,1981200,2119700,8619400,5887000,5307700,228.600006,230.899994,227.809998,228.279999,3855600
245.350006,241.160004,234.570007,226.25,228.600006,246.690002,242.470001,234.880005,229.720001,230.899994,242.520004,229.009995,228,225.5,227.809998,244.520004,231.639999,231.429993,229.300003,228.279999,2119700,8619400,5887000,5307700,3855600,228.669998,229.389999,222.259995,223.710007,6063600
